n,factorization_str,sB,mB,kL,sigma,epsilon,kappa,fam_support,fam_E_part,fam_A_part,fam_B_part,fam_C_part,rho_E,rho_A,rho_B,rho_C,C_fam,K,K2,K3
473,11 * 43,1,473,11,0.0,1.0,0.3893258866032111,B·C,1,1,43,11,0.0,0.0,0.610674113396789,0.3893258866032111,0.6684455924104493,0.6684455924104493,5.939604576256232,4.117020165672956
474,2 * 3 * 79,6,79,6,0.29081304615717823,0.7091869538428217,0.29081304615717823,B,1,1,79,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
475,5^2 * 19,1,475,25,0.0,1.0,0.5222637374876672,A·B,1,25,19,1,0.0,0.5222637374876672,0.4777362625123328,0.0,0.69215550469573,0.69215550469573,6.154497036746337,4.265972268785261
476,2^2 * 7 * 17,4,119,28,0.22485002539908233,0.7751499746009176,0.5404669381635279,A·B,1,17,7,1,0.0,0.5928311641538279,0.40716883584617214,0.0,0.6758115214904612,0.5238552837183384,2.006779319859446,2.2929130178484303
477,3^2 * 53,9,53,9,0.35625759259538536,0.6437424074046146,0.35625759259538536,A,1,53,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
478,2 * 239,2,239,2,0.1123486084639952,0.8876513915360048,0.1123486084639952,C,1,1,1,239,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
479,479,1,479,1,0.0,1.0,0.0,C,1,1,1,479,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
480,2^5 * 3 * 5,96,5,480,0.7393110345340749,0.2606889654659251,1.0,A,1,5,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
481,13 * 37,1,481,13,0.0,1.0,0.4153180833204034,E,481,1,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
482,2 * 241,2,241,2,0.11219706228541453,0.8878029377145854,0.11219706228541453,E,241,1,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
