P_A,P_B,P_C,sigA,sigB,sigC,count,n_min,n_max,top_e (bis 5)
25,1333,1909,5·5,31·43,23·83,1,827026525,827026525,13×1
25,1333,1969,5·5,31·43,11·179,1,853020025,853020025,13×1
25,1333,2101,5·5,31·43,11·191,1,910205725,910205725,13×1
25,1333,2209,5·5,31·43,47·47,1,956994025,956994025,13×1
25,217,11569,5·5,7·31,23·503,1,815903725,815903725,13×1
25,217,11449,5·5,7·31,107·107,1,807440725,807440725,13×1
25,217,11341,5·5,7·31,11·1031,1,799824025,799824025,13×1
25,217,11293,5·5,7·31,23·491,1,796438825,796438825,13×1
25,1393,781,5·5,7·199,11·71,1,353578225,353578225,13×1
25,217,12709,5·5,7·31,71·179,1,896302225,896302225,13×1
25,1393,913,5·5,7·199,11·83,1,413337925,413337925,13×1
25,1393,1081,5·5,7·199,23·47,1,489395725,489395725,13×1
25,1393,1177,5·5,7·199,11·107,1,532857325,532857325,13×1
25,1393,1357,5·5,7·199,23·59,1,614347825,614347825,13×1
25,1393,1441,5·5,7·199,11·131,1,652376725,652376725,13×1
25,1393,1633,5·5,7·199,23·71,1,739299925,739299925,13×1
25,1393,1837,5·5,7·199,11·167,1,831655825,831655825,13×1
25,1393,1909,5·5,7·199,23·83,1,864252025,864252025,13×1
25,1393,1969,5·5,7·199,11·179,1,891415525,891415525,13×1
25,1333,1633,5·5,31·43,23·71,1,707456425,707456425,13×1
25,1333,1441,5·5,31·43,11·131,1,624277225,624277225,13×1
25,1333,1357,5·5,31·43,23·59,1,587886325,587886325,13×1
25,1333,1177,5·5,31·43,11·107,1,509905825,509905825,13×1
25,1273,913,5·5,19·67,11·83,1,377730925,377730925,13×1
25,1273,1081,5·5,19·67,23·47,1,447236725,447236725,13×1
25,1273,1177,5·5,19·67,11·107,1,486954325,486954325,13×1
25,1273,1357,5·5,19·67,23·59,1,561424825,561424825,13×1
25,1273,1441,5·5,19·67,11·131,1,596177725,596177725,13×1
25,1273,1633,5·5,19·67,23·71,1,675612925,675612925,13×1
25,1273,1837,5·5,19·67,11·167,1,760012825,760012825,13×1
25,1273,1909,5·5,19·67,23·83,1,789801025,789801025,13×1
25,1273,1969,5·5,19·67,11·179,1,814624525,814624525,13×1
25,1273,2101,5·5,19·67,11·191,1,869236225,869236225,13×1
25,1273,2209,5·5,19·67,47·47,1,913918525,913918525,13×1
25,217,12661,5·5,7·31,11·1151,1,892917025,892917025,13×1
25,217,12361,5·5,7·31,47·263,1,871759525,871759525,13×1
25,217,12133,5·5,7·31,11·1103,1,855679825,855679825,13×1
25,217,12001,5·5,7·31,11·1091,1,846370525,846370525,13×1
25,217,11857,5·5,7·31,71·167,1,836214925,836214925,13×1
25,217,11797,5·5,7·31,47·251,1,831983425,831983425,13×1
25,1333,913,5·5,31·43,11·83,1,395534425,395534425,13×1
25,1333,1081,5·5,31·43,23·47,1,468316225,468316225,13×1
25,973,2497,5·5,7·139,11·227,1,789613825,789613825,13×1
25,973,2461,5·5,7·139,23·107,1,778229725,778229725,13×1
25,973,2209,5·5,7·139,47·47,1,698541025,698541025,13×1
25,301,5401,5·5,7·43,11·491,1,528352825,528352825,13×1
25,817,2761,5·5,19·43,11·251,1,733114525,733114525,13×1
25,817,2773,5·5,19·43,47·59,1,736300825,736300825,13×1
25,817,2893,5·5,19·43,11·263,1,768163825,768163825,13×1
25,817,3013,5·5,19·43,23·131,1,800026825,800026825,13×1
25,817,3337,5·5,19·43,47·71,1,886056925,886056925,13×1
25,817,3421,5·5,19·43,11·311,1,908361025,908361025,13×1
25,817,3481,5·5,19·43,59·59,1,924292525,924292525,13×1
25,301,5533,5·5,7·43,11·503,1,541265725,541265725,13×1
25,301,5497,5·5,7·43,23·239,1,537744025,537744025,13×1
25,301,5269,5·5,7·43,11·479,1,515439925,515439925,13×1
25,889,1969,5·5,7·127,11·179,1,568893325,568893325,13×1
25,301,5221,5·5,7·43,23·227,1,510744325,510744325,13×1
25,301,5137,5·5,7·43,11·467,1,502527025,502527025,13×1
25,301,5041,5·5,7·43,71·71,1,493135825,493135825,13×1
25,301,5029,5·5,7·43,47·107,1,491961925,491961925,13×1
25,301,4897,5·5,7·43,59·83,1,479049025,479049025,13×1
25,889,1357,5·5,7·127,23·59,1,392071225,392071225,13×1
25,889,1441,5·5,7·127,11·131,1,416340925,416340925,13×1
25,889,1633,5·5,7·127,23·71,1,471814525,471814525,13×1
25,889,1837,5·5,7·127,11·167,1,530755225,530755225,13×1
25,817,2629,5·5,19·43,11·239,1,698065225,698065225,13×1
25,817,2497,5·5,19·43,11·227,1,663015925,663015925,13×1
25,817,2461,5·5,19·43,23·107,1,653457025,653457025,13×1
25,817,2209,5·5,19·43,47·47,1,586544725,586544725,13×1
25,721,4117,5·5,7·103,23·179,1,964716025,964716025,13×1
25,721,4189,5·5,7·103,59·71,1,981587425,981587425,13×1
25,721,4213,5·5,7·103,11·383,1,987211225,987211225,13×1
25,301,6889,5·5,7·43,83·83,1,673916425,673916425,13×1
25,301,6589,5·5,7·43,11·599,1,644568925,644568925,13×1
25,301,6457,5·5,7·43,11·587,1,631656025,631656025,13×1
25,301,6313,5·5,7·43,59·107,1,617569225,617569225,13×1
25,301,6193,5·5,7·43,11·563,1,605830225,605830225,13×1
25,301,6157,5·5,7·43,47·131,1,602308525,602308525,13×1
25,301,6049,5·5,7·43,23·263,1,591743425,591743425,13×1
25,301,5893,5·5,7·43,71·83,1,576482725,576482725,13×1
25,301,5773,5·5,7·43,23·251,1,564743725,564743725,13×1
25,817,1357,5·5,19·43,23·59,1,360317425,360317425,13×1
25,817,1441,5·5,19·43,11·131,1,382621525,382621525,13×1
25,817,1633,5·5,19·43,23·71,1,433602325,433602325,13×1
25,817,1837,5·5,19·43,11·167,1,487769425,487769425,13×1
25,817,1909,5·5,19·43,23·83,1,506887225,506887225,13×1
25,817,1969,5·5,19·43,11·179,1,522818725,522818725,13×1
25,817,2101,5·5,19·43,11·191,1,557868025,557868025,13×1
25,889,1909,5·5,7·127,23·83,1,551557825,551557825,13×1
25,889,2101,5·5,7·127,11·191,1,607031425,607031425,13×1
25,973,2101,5·5,7·139,11·191,1,664388725,664388725,13×1
25,961,3013,5·5,31·31,23·131,1,941035225,941035225,13×1
25,961,1969,5·5,31·31,11·179,1,614967925,614967925,13×1
25,961,2101,5·5,31·31,11·191,1,656194825,656194825,13×1
25,961,2209,5·5,31·31,47·47,1,689925925,689925925,13×1
25,961,2461,5·5,31·31,23·107,1,768631825,768631825,13×1
25,961,2497,5·5,31·31,11·227,1,779875525,779875525,13×1
25,961,2629,5·5,31·31,11·239,1,821102425,821102425,13×1
25,961,2761,5·5,31·31,11·251,1,862329325,862329325,13×1
25,961,2773,5·5,31·31,47·59,1,866077225,866077225,13×1
25,961,2893,5·5,31·31,11·263,1,903556225,903556225,13×1
25,301,3901,5·5,7·43,47·83,1,381615325,381615325,13×1
25,889,2209,5·5,7·127,47·47,1,638235325,638235325,13×1
25,301,3841,5·5,7·43,23·167,1,375745825,375745825,13×1
25,301,3817,5·5,7·43,11·347,1,373398025,373398025,13×1
25,973,1177,5·5,7·139,11·107,1,372196825,372196825,13×1
25,973,1357,5·5,7·139,23·59,1,429117325,429117325,13×1
25,973,1441,5·5,7·139,11·131,1,455680225,455680225,13×1
25,973,1633,5·5,7·139,23·71,1,516395425,516395425,13×1
25,973,1837,5·5,7·139,11·167,1,580905325,580905325,13×1
25,973,1909,5·5,7·139,23·83,1,603673525,603673525,13×1
25,973,1969,5·5,7·139,11·179,1,622647025,622647025,13×1
25,961,1909,5·5,31·31,23·83,1,596228425,596228425,13×1
25,961,1837,5·5,31·31,11·167,1,573741025,573741025,13×1
25,961,1633,5·5,31·31,23·71,1,510026725,510026725,13×1
25,961,1441,5·5,31·31,11·131,1,450060325,450060325,13×1
25,889,2461,5·5,7·127,23·107,1,711044425,711044425,13×1
25,889,2497,5·5,7·127,11·227,1,721445725,721445725,13×1
25,889,2629,5·5,7·127,11·239,1,759583825,759583825,13×1
25,889,2761,5·5,7·127,11·251,1,797721925,797721925,13×1
25,889,2773,5·5,7·127,47·59,1,801189025,801189025,13×1
25,889,2893,5·5,7·127,11·263,1,835860025,835860025,13×1
25,889,3013,5·5,7·127,23·131,1,870531025,870531025,13×1
25,889,3337,5·5,7·127,47·71,1,964142725,964142725,13×1
25,889,3421,5·5,7·127,11·311,1,988412425,988412425,13×1
25,301,4873,5·5,7·43,11·443,1,476701225,476701225,13×1
25,301,4741,5·5,7·43,11·431,1,463788325,463788325,13×1
25,301,4609,5·5,7·43,11·419,1,450875425,450875425,13×1
25,301,4393,5·5,7·43,23·191,1,429745225,429745225,13×1
25,301,4213,5·5,7·43,11·383,1,412136725,412136725,13×1
25,301,4189,5·5,7·43,59·71,1,409788925,409788925,13×1
25,301,4117,5·5,7·43,23·179,1,402745525,402745525,13×1
25,301,3949,5·5,7·43,11·359,1,386310925,386310925,13×1
25,961,1177,5·5,31·31,11·107,1,367606525,367606525,13×1
25,961,1357,5·5,31·31,23·59,1,423825025,423825025,13×1
25,7441,253,5·5,7·1063,11·23,1,611836225,611836225,13×1
25,133,16621,5·5,7·19,11·1511,1,718442725,718442725,13×1
25,7609,253,5·5,7·1087,11·23,1,625650025,625650025,13×1
25,49,61177,5·5,7·7,131·467,1,974243725,974243725,13×1
85,361,1969,5·17,19·19,11·179,1,785443945,785443945,13×1
85,361,2101,5·17,19·19,11·191,1,838099405,838099405,13×1
85,361,2209,5·17,19·19,47·47,1,881181145,881181145,13×1
85,361,2461,5·17,19·19,23·107,1,981705205,981705205,13×1
85,361,2497,5·17,19·19,11·227,1,996065785,996065785,13×1
25,49,61501,5·5,7·7,11·5591,1,979403425,979403425,13×1
25,49,61429,5·5,7·7,47·1307,1,978256825,978256825,13×1
25,49,61273,5·5,7·7,71·863,1,975772525,975772525,13×1
25,49,61249,5·5,7·7,23·2663,1,975390325,975390325,13×1
85,469,781,5·17,7·67,11·71,1,404749345,404749345,13×1
85,361,1837,5·17,19·19,11·167,1,732788485,732788485,13×1
85,469,913,5·17,7·67,11·83,1,473157685,473157685,13×1
85,469,1081,5·17,7·67,23·47,1,560222845,560222845,13×1
85,469,1177,5·17,7·67,11·107,1,609974365,609974365,13×1
85,469,1357,5·17,7·67,23·59,1,703258465,703258465,13×1
85,469,1441,5·17,7·67,11·131,1,746791045,746791045,13×1
85,469,1633,5·17,7·67,23·71,1,846294085,846294085,13×1
85,469,1837,5·17,7·67,11·167,1,952016065,952016065,13×1
85,469,1909,5·17,7·67,23·83,1,989329705,989329705,13×1
25,49,60841,5·5,7·7,11·5531,1,968892925,968892925,13×1
85,361,1909,5·17,19·19,23·83,1,761509645,761509645,13×1
85,361,1633,5·17,19·19,23·71,1,651411865,651411865,13×1
85,961,517,5·17,31·31,11·47,1,549004885,549004885,13×1
85,301,2893,5·17,7·43,11·263,1,962226265,962226265,13×1
85,301,1909,5·17,7·43,23·83,1,634942945,634942945,13×1
85,301,1969,5·17,7·43,11·179,1,654899245,654899245,13×1
85,301,2101,5·17,7·43,11·191,1,698803105,698803105,13×1
85,301,2209,5·17,7·43,47·47,1,734724445,734724445,13×1
85,301,2461,5·17,7·43,23·107,1,818540905,818540905,13×1
85,301,2497,5·17,7·43,11·227,1,830514685,830514685,13×1
85,301,2629,5·17,7·43,11·239,1,874418545,874418545,13×1
85,301,2761,5·17,7·43,11·251,1,918322405,918322405,13×1
85,301,2773,5·17,7·43,47·59,1,922313665,922313665,13×1
25,49,62113,5·5,7·7,179·347,1,989149525,989149525,13×1
85,361,1441,5·17,19·19,11·131,1,574822105,574822105,13×1
25,49,62077,5·5,7·7,23·2699,1,988576225,988576225,13×1
25,49,62029,5·5,7·7,11·5639,1,987811825,987811825,13×1
25,49,61993,5·5,7·7,47·1319,1,987238525,987238525,13×1
25,49,61801,5·5,7·7,23·2687,1,984180925,984180925,13×1
25,49,61669,5·5,7·7,83·743,1,982078825,982078825,13×1
85,361,913,5·17,19·19,11·83,1,364200265,364200265,13×1
85,361,1081,5·17,19·19,23·47,1,431216305,431216305,13×1
85,361,1177,5·17,19·19,11·107,1,469511185,469511185,13×1
85,361,1357,5·17,19·19,23·59,1,541314085,541314085,13×1
25,49,60829,5·5,7·7,59·1031,1,968701825,968701825,13×1
25,49,60709,5·5,7·7,11·5519,1,966790825,966790825,13×1
25,49,60577,5·5,7·7,11·5507,1,964688725,964688725,13×1
85,817,781,5·17,19·43,11·71,1,705075085,705075085,13×1
85,721,781,5·17,7·103,11·71,1,622226605,622226605,13×1
85,721,913,5·17,7·103,11·83,1,727391665,727391665,13×1
85,721,1081,5·17,7·103,23·47,1,861238105,861238105,13×1
85,721,1177,5·17,7·103,11·107,1,937721785,937721785,13×1
25,49,59953,5·5,7·7,167·359,1,954751525,954751525,13×1
25,49,59701,5·5,7·7,227·263,1,950738425,950738425,13×1
85,817,517,5·17,19·43,11·47,1,466739845,466739845,13×1
85,817,529,5·17,19·43,23·23,1,477573265,477573265,13×1
85,817,649,5·17,19·43,11·59,1,585907465,585907465,13×1
85,817,913,5·17,19·43,11·83,1,824242705,824242705,13×1
85,553,649,5·17,7·79,11·59,1,396581185,396581185,13×1
85,817,1081,5·17,19·43,23·47,1,975910585,975910585,13×1
25,49,59677,5·5,7·7,83·719,1,950356225,950356225,13×1
25,49,59593,5·5,7·7,23·2591,1,949018525,949018525,13×1
85,889,517,5·17,7·127,11·47,1,507872365,507872365,13×1
85,889,529,5·17,7·127,23·23,1,519660505,519660505,13×1
85,889,649,5·17,7·127,11·59,1,637541905,637541905,13×1
85,889,781,5·17,7·127,11·71,1,767211445,767211445,13×1
85,889,913,5·17,7·127,11·83,1,896880985,896880985,13×1
25,49,59569,5·5,7·7,71·839,1,948636325,948636325,13×1
85,721,649,5·17,7·103,11·59,1,517061545,517061545,13×1
85,721,529,5·17,7·103,23·23,1,421456945,421456945,13×1
85,721,517,5·17,7·103,11·47,1,411896485,411896485,13×1
25,49,59989,5·5,7·7,239·251,1,955324825,955324825,13×1
85,553,781,5·17,7·79,11·71,1,477241765,477241765,13×1
85,553,913,5·17,7·79,11·83,1,557902345,557902345,13×1
85,553,1081,5·17,7·79,23·47,1,660561265,660561265,13×1
85,553,1177,5·17,7·79,11·107,1,719223505,719223505,13×1
85,553,1357,5·17,7·79,23·59,1,829215205,829215205,13×1
85,553,1441,5·17,7·79,11·131,1,880544665,880544665,13×1
85,553,1633,5·17,7·79,23·71,1,997869145,997869145,13×1
25,49,60313,5·5,7·7,11·5483,1,960484525,960484525,13×1
25,49,60301,5·5,7·7,47·1283,1,960293425,960293425,13×1
25,49,60241,5·5,7·7,107·563,1,959337925,959337925,13×1
25,49,60181,5·5,7·7,11·5471,1,958382425,958382425,13×1
85,589,649,5·17,19·31,11·59,1,422398405,422398405,13×1
85,589,781,5·17,19·31,11·71,1,508309945,508309945,13×1
85,589,913,5·17,19·31,11·83,1,594221485,594221485,13×1
85,589,1081,5·17,19·31,23·47,1,703563445,703563445,13×1
85,589,1177,5·17,19·31,11·107,1,766044565,766044565,13×1
85,589,1357,5·17,19·31,23·59,1,883196665,883196665,13×1
85,589,1441,5·17,19·31,11·131,1,937867645,937867645,13×1
25,49,60121,5·5,7·7,59·1019,1,957426925,957426925,13×1
85,301,1837,5·17,7·43,11·167,1,610995385,610995385,13×1
85,301,1633,5·17,7·43,23·71,1,543143965,543143965,13×1
85,301,1441,5·17,7·43,11·131,1,479283805,479283805,13×1
85,133,3013,5·17,7·19,23·131,1,442805545,442805545,13×1
25,133,8413,5·5,7·19,47·179,1,363651925,363651925,13×1
25,133,8257,5·5,7·19,23·359,1,356908825,356908825,13×1
25,133,8173,5·5,7·19,11·743,1,353277925,353277925,13×1
85,133,2461,5·17,7·19,23·107,1,361680865,361680865,13×1
85,133,2497,5·17,7·19,11·227,1,366971605,366971605,13×1
85,133,2629,5·17,7·19,11·239,1,386370985,386370985,13×1
85,133,2761,5·17,7·19,11·251,1,405770365,405770365,13×1
85,133,2773,5·17,7·19,47·59,1,407533945,407533945,13×1
85,133,2893,5·17,7·19,11·263,1,425169745,425169745,13×1
85,133,3337,5·17,7·19,47·71,1,490422205,490422205,13×1
85,133,4609,5·17,7·19,11·419,1,677361685,677361685,13×1
85,133,3421,5·17,7·19,11·311,1,502767265,502767265,13×1
85,133,3481,5·17,7·19,59·59,1,511585165,511585165,13×1
85,133,3817,5·17,7·19,11·347,1,560965405,560965405,13×1
85,133,3841,5·17,7·19,23·167,1,564492565,564492565,13×1
85,133,3901,5·17,7·19,47·83,1,573310465,573310465,13×1
85,133,3949,5·17,7·19,11·359,1,580364785,580364785,13×1
85,133,4117,5·17,7·19,23·179,1,605054905,605054905,13×1
85,133,4189,5·17,7·19,59·71,1,615636385,615636385,13×1
85,133,4213,5·17,7·19,11·383,1,619163545,619163545,13×1
25,133,8809,5·5,7·19,23·383,1,380769025,380769025,13×1
25,133,8881,5·5,7·19,83·107,1,383881225,383881225,13×1
25,133,8977,5·5,7·19,47·191,1,388030825,388030825,13×1
85,49,18349,5·17,7·7,59·311,1,993506605,993506605,13×1
85,49,16309,5·17,7·7,47·347,1,883050805,883050805,13×1
85,49,16357,5·17,7·7,11·1487,1,885649765,885649765,13×1
85,49,16489,5·17,7·7,11·1499,1,892796905,892796905,13×1
85,49,16537,5·17,7·7,23·719,1,895395865,895395865,13×1
85,49,16621,5·17,7·7,11·1511,1,899944045,899944045,13×1
85,49,16753,5·17,7·7,11·1523,1,907091185,907091185,13×1
85,49,16873,5·17,7·7,47·359,1,913588585,913588585,13×1
85,49,16969,5·17,7·7,71·239,1,918786505,918786505,13×1
85,49,17089,5·17,7·7,23·743,1,925283905,925283905,13×1
85,49,17149,5·17,7·7,11·1559,1,928532605,928532605,13×1
85,49,17161,5·17,7·7,131·131,1,929182345,929182345,13×1
85,49,17281,5·17,7·7,11·1571,1,935679745,935679745,13×1
85,49,17413,5·17,7·7,11·1583,1,942826885,942826885,13×1
85,49,17677,5·17,7·7,11·1607,1,957121165,957121165,13×1
85,49,17809,5·17,7·7,11·1619,1,964268305,964268305,13×1
85,49,17821,5·17,7·7,71·251,1,964918045,964918045,13×1
85,49,17869,5·17,7·7,107·167,1,967517005,967517005,13×1
85,49,18001,5·17,7·7,47·383,1,974664145,974664145,13×1
85,49,18337,5·17,7·7,11·1667,1,992856865,992856865,13×1
85,133,4393,5·17,7·19,23·191,1,645617245,645617245,13×1
85,133,4741,5·17,7·19,11·431,1,696761065,696761065,13×1
85,301,1357,5·17,7·43,23·59,1,451344985,451344985,13×1
85,217,3481,5·17,7·31,59·59,1,834691585,834691585,13×1
85,217,2461,5·17,7·31,23·107,1,590110885,590110885,13×1
85,217,2497,5·17,7·31,11·227,1,598743145,598743145,13×1
85,217,2629,5·17,7·31,11·239,1,630394765,630394765,13×1
85,217,2761,5·17,7·31,11·251,1,662046385,662046385,13×1
85,217,2773,5·17,7·31,47·59,1,664923805,664923805,13×1
85,217,2893,5·17,7·31,11·263,1,693698005,693698005,13×1
85,217,3013,5·17,7·31,23·131,1,722472205,722472205,13×1
85,217,3337,5·17,7·31,47·71,1,800162545,800162545,13×1
85,217,3421,5·17,7·31,11·311,1,820304485,820304485,13×1
85,217,3817,5·17,7·31,11·347,1,915259345,915259345,13×1
85,133,4873,5·17,7·19,11·443,1,716160445,716160445,13×1
85,217,3841,5·17,7·31,23·167,1,921014185,921014185,13×1
85,217,3901,5·17,7·31,47·83,1,935401285,935401285,13×1
85,217,3949,5·17,7·31,11·359,1,946910965,946910965,13×1
85,217,4117,5·17,7·31,23·179,1,987194845,987194845,13×1
25,49,62749,5·5,7·7,131·479,1,999277825,999277825,13×1
25,49,62353,5·5,7·7,23·2711,1,992971525,992971525,13×1
25,49,62161,5·5,7·7,11·5651,1,989913925,989913925,13×1
85,301,1081,5·17,7·43,23·47,1,359546005,359546005,13×1
85,301,1177,5·17,7·43,11·107,1,391476085,391476085,13×1
85,217,2209,5·17,7·31,47·47,1,529685065,529685065,13×1
85,217,2101,5·17,7·31,11·191,1,503788285,503788285,13×1
85,217,1969,5·17,7·31,11·179,1,472136665,472136665,13×1
85,217,1909,5·17,7·31,23·83,1,457749565,457749565,13×1
85,133,4897,5·17,7·19,59·83,1,719687605,719687605,13×1
85,133,5029,5·17,7·19,47·107,1,739086985,739086985,13×1
85,133,5041,5·17,7·19,71·71,1,740850565,740850565,13×1
85,133,5137,5·17,7·19,11·467,1,754959205,754959205,13×1
85,133,5221,5·17,7·19,23·227,1,767304265,767304265,13×1
85,133,5269,5·17,7·19,11·479,1,774358585,774358585,13×1
85,133,5401,5·17,7·19,11·491,1,793757965,793757965,13×1
85,133,5497,5·17,7·19,23·239,1,807866605,807866605,13×1
85,133,5533,5·17,7·19,11·503,1,813157345,813157345,13×1
85,133,5773,5·17,7·19,23·251,1,848428945,848428945,13×1
85,133,5893,5·17,7·19,71·83,1,866064745,866064745,13×1
85,133,6049,5·17,7·19,23·263,1,888991285,888991285,13×1
85,133,6157,5·17,7·19,47·131,1,904863505,904863505,13×1
85,133,6193,5·17,7·19,11·563,1,910154245,910154245,13×1
85,133,6313,5·17,7·19,59·107,1,927790045,927790045,13×1
85,133,6457,5·17,7·19,11·587,1,948953005,948953005,13×1
85,133,6589,5·17,7·19,11·599,1,968352385,968352385,13×1
85,217,1633,5·17,7·31,23·71,1,391568905,391568905,13×1
85,217,1837,5·17,7·31,11·167,1,440485045,440485045,13×1
25,49,59401,5·5,7·7,191·311,1,945960925,945960925,13×1
85,961,529,5·17,31·31,23·23,1,561747745,561747745,13×1
25,133,16537,5·5,7·19,23·719,1,714811825,714811825,13×1
85,6541,121,5·17,31·211,11·11,1,874564405,874564405,13×1
85,5977,121,5·17,43·139,11·11,1,799154785,799154785,13×1
85,6013,121,5·17,7·859,11·11,1,803968165,803968165,13×1
85,6169,121,5·17,31·199,11·11,1,824826145,824826145,13×1
85,6181,121,5·17,7·883,11·11,1,826430605,826430605,13×1
85,6241,121,5·17,79·79,11·11,1,834452905,834452905,13×1
85,6289,121,5·17,19·331,11·11,1,840870745,840870745,13×1
85,6349,121,5·17,7·907,11·11,1,848893045,848893045,13×1
85,6433,121,5·17,7·919,11·11,1,860124265,860124265,13×1
85,6493,121,5·17,43·151,11·11,1,868146565,868146565,13×1
85,6769,121,5·17,7·967,11·11,1,905049145,905049145,13×1
85,5761,121,5·17,7·823,11·11,1,770274505,770274505,13×1
85,6901,121,5·17,67·103,11·11,1,922698205,922698205,13×1
85,6913,121,5·17,31·223,11·11,1,924302665,924302665,13×1
85,6937,121,5·17,7·991,11·11,1,927511585,927511585,13×1
85,6973,121,5·17,19·367,11·11,1,932324965,932324965,13×1
85,7009,121,5·17,43·163,11·11,1,937138345,937138345,13×1
85,7201,121,5·17,19·379,11·11,1,962809705,962809705,13×1
85,7273,121,5·17,7·1039,11·11,1,972436465,972436465,13×1
85,7357,121,5·17,7·1051,11·11,1,983667685,983667685,13×1
85,7441,121,5·17,7·1063,11·11,1,994898905,994898905,13×1
85,5833,121,5·17,19·307,11·11,1,779901265,779901265,13×1
85,5677,121,5·17,7·811,11·11,1,759043285,759043285,13×1
85,961,649,5·17,31·31,11·59,1,689176345,689176345,13×1
85,4501,121,5·17,7·643,11·11,1,601806205,601806205,13×1
85,3997,121,5·17,7·571,11·11,1,534418885,534418885,13×1
85,4009,121,5·17,19·211,11·11,1,536023345,536023345,13×1
85,4237,121,5·17,19·223,11·11,1,566508085,566508085,13×1
85,4249,121,5·17,7·607,11·11,1,568112545,568112545,13×1
85,4309,121,5·17,31·139,11·11,1,576134845,576134845,13×1
85,4333,121,5·17,7·619,11·11,1,579343765,579343765,13×1
85,4417,121,5·17,7·631,11·11,1,590574985,590574985,13×1
85,4429,121,5·17,43·103,11·11,1,592179445,592179445,13×1
85,4489,121,5·17,67·67,11·11,1,600201745,600201745,13×1
85,4681,121,5·17,31·151,11·11,1,625873105,625873105,13×1
85,5509,121,5·17,7·787,11·11,1,736580845,736580845,13×1
85,4837,121,5·17,7·691,11·11,1,646731085,646731085,13×1
85,5053,121,5·17,31·163,11·11,1,675611365,675611365,13×1
85,5089,121,5·17,7·727,11·11,1,680424745,680424745,13×1
85,5149,121,5·17,19·271,11·11,1,688447045,688447045,13×1
85,5173,121,5·17,7·739,11·11,1,691655965,691655965,13×1
85,5257,121,5·17,7·751,11·11,1,702887185,702887185,13×1
85,5293,121,5·17,67·79,11·11,1,707700565,707700565,13×1
85,5377,121,5·17,19·283,11·11,1,718931785,718931785,13×1
85,5461,121,5·17,43·127,11·11,1,730163005,730163005,13×1
25,49,56461,5·5,7·7,131·431,1,899141425,899141425,13×1
25,49,56281,5·5,7·7,23·2447,1,896274925,896274925,13×1
25,49,56089,5·5,7·7,11·5099,1,893217325,893217325,13×1
145,49,4741,5·29,7·7,11·431,1,437902465,437902465,13×1
145,49,3817,5·29,7·7,11·347,1,352557205,352557205,13×1
145,49,3841,5·29,7·7,23·167,1,354773965,354773965,13×1
145,49,3901,5·29,7·7,47·83,1,360315865,360315865,13×1
145,49,3949,5·29,7·7,11·359,1,364749385,364749385,13×1
145,49,4117,5·29,7·7,23·179,1,380266705,380266705,13×1
145,49,4189,5·29,7·7,59·71,1,386916985,386916985,13×1
145,49,4213,5·29,7·7,11·383,1,389133745,389133745,13×1
145,49,4393,5·29,7·7,23·191,1,405759445,405759445,13×1
145,49,4609,5·29,7·7,11·419,1,425710285,425710285,13×1
145,49,4873,5·29,7·7,11·443,1,450094645,450094645,13×1
25,49,55957,5·5,7·7,11·5087,1,891115225,891115225,13×1
145,49,4897,5·29,7·7,59·83,1,452311405,452311405,13×1
145,49,5029,5·29,7·7,47·107,1,464503585,464503585,13×1
145,49,5041,5·29,7·7,71·71,1,465611965,465611965,13×1
145,49,5137,5·29,7·7,11·467,1,474479005,474479005,13×1
145,49,5221,5·29,7·7,23·227,1,482237665,482237665,13×1
145,49,5269,5·29,7·7,11·479,1,486671185,486671185,13×1
145,49,5401,5·29,7·7,11·491,1,498863365,498863365,13×1
145,49,5497,5·29,7·7,23·239,1,507730405,507730405,13×1
145,49,5533,5·29,7·7,11·503,1,511055545,511055545,13×1
25,49,53701,5·5,7·7,83·647,1,855188425,855188425,13×1
25,49,53749,5·5,7·7,59·911,1,855952825,855952825,13×1
25,49,53797,5·5,7·7,23·2339,1,856717225,856717225,13×1
25,49,53821,5·5,7·7,107·503,1,857099425,857099425,13×1
25,49,55873,5·5,7·7,59·947,1,889777525,889777525,13×1
25,49,55789,5·5,7·7,47·1187,1,888439825,888439825,13×1
25,49,55729,5·5,7·7,23·2423,1,887484325,887484325,13×1
25,49,55669,5·5,7·7,179·311,1,886528825,886528825,13×1
25,49,55561,5·5,7·7,11·5051,1,884808925,884808925,13×1
25,49,55453,5·5,7·7,23·2411,1,883089025,883089025,13×1
25,49,55429,5·5,7·7,11·5039,1,882706825,882706825,13×1
25,49,55177,5·5,7·7,23·2399,1,878693725,878693725,13×1
25,49,55033,5·5,7·7,11·5003,1,876400525,876400525,13×1
25,49,54889,5·5,7·7,131·419,1,874107325,874107325,13×1
25,49,54697,5·5,7·7,83·659,1,871049725,871049725,13×1
25,49,54661,5·5,7·7,47·1163,1,870476425,870476425,13×1
25,49,54637,5·5,7·7,11·4967,1,870094225,870094225,13×1
25,361,5221,5·5,19·19,23·227,1,612553825,612553825,13×1
25,49,54253,5·5,7·7,227·239,1,863979025,863979025,13×1
25,49,54241,5·5,7·7,11·4931,1,863787925,863787925,13×1
25,49,54109,5·5,7·7,11·4919,1,861685825,861685825,13×1
25,49,54097,5·5,7·7,47·1151,1,861494725,861494725,13×1
25,49,54073,5·5,7·7,23·2351,1,861112525,861112525,13×1
85,3937,121,5·17,31·127,11·11,1,526396585,526396585,13×1
