family,prime,occurrences,first_n,first_shell,first_e,first_partner_in_family,first_partner_type,double_share_overall,top_shells (3),top_e (5),top_other_pairs (5)
B,2239,1,616340725,S8,13,7,baseline,0.0,S8×1,13×1,5·5 | 11·11×1
B,2251,1,619644025,S8,13,7,baseline,0.0,S8×1,13×1,5·5 | 11·11×1
B,2287,1,629553925,S8,13,7,baseline,0.0,S8×1,13×1,5·5 | 11·11×1
B,2311,1,636160525,S8,13,7,baseline,0.0,S8×1,13×1,5·5 | 11·11×1
B,2347,1,646070425,S9,13,7,baseline,0.0,S9×1,13×1,5·5 | 11·11×1
B,2371,1,652677025,S9,13,7,baseline,0.0,S9×1,13×1,5·5 | 11·11×1
B,2383,1,655980325,S9,13,7,baseline,0.0,S9×1,13×1,5·5 | 11·11×1
B,2467,1,679103425,S9,13,7,baseline,0.0,S9×1,13×1,5·5 | 11·11×1
B,2503,1,689013325,S9,13,7,baseline,0.0,S9×1,13×1,5·5 | 11·11×1
B,2539,1,698923225,S9,13,7,baseline,0.0,S9×1,13×1,5·5 | 11·11×1
B,2551,1,702226525,S9,13,7,baseline,0.0,S9×1,13×1,5·5 | 11·11×1
B,2647,1,728652925,S9,13,7,baseline,0.0,S9×1,13×1,5·5 | 11·11×1
B,2659,1,731956225,S9,13,7,baseline,0.0,S9×1,13×1,5·5 | 11·11×1
B,2671,1,735259525,S9,13,7,baseline,0.0,S9×1,13×1,5·5 | 11·11×1
B,2683,1,738562825,S9,13,7,baseline,0.0,S9×1,13×1,5·5 | 11·11×1
B,2707,1,745169425,S9,13,7,baseline,0.0,S9×1,13×1,5·5 | 11·11×1
B,2719,1,748472725,S9,13,7,baseline,0.0,S9×1,13×1,5·5 | 11·11×1
B,2731,1,751776025,S9,13,7,baseline,0.0,S9×1,13×1,5·5 | 11·11×1
B,2767,1,761685925,S9,13,7,baseline,0.0,S9×1,13×1,5·5 | 11·11×1
B,2791,1,768292525,S9,13,7,baseline,0.0,S9×1,13×1,5·5 | 11·11×1
B,2803,1,771595825,S9,13,7,baseline,0.0,S9×1,13×1,5·5 | 11·11×1
B,2851,1,784809025,S9,13,7,baseline,0.0,S9×1,13×1,5·5 | 11·11×1
B,2887,1,794718925,S9,13,7,baseline,0.0,S9×1,13×1,5·5 | 11·11×1
B,2971,1,817842025,S9,13,7,baseline,0.0,S9×1,13×1,5·5 | 11·11×1
B,3019,1,831055225,S10,13,7,baseline,0.0,S10×1,13×1,5·5 | 11·11×1
B,3067,1,844268425,S10,13,7,baseline,0.0,S10×1,13×1,5·5 | 11·11×1
B,3079,1,847571725,S10,13,7,baseline,0.0,S10×1,13×1,5·5 | 11·11×1
B,3163,1,870694825,S10,13,7,baseline,0.0,S10×1,13×1,5·5 | 11·11×1
B,3187,1,877301425,S10,13,7,baseline,0.0,S10×1,13×1,5·5 | 11·11×1
B,3259,1,897121225,S10,13,7,baseline,0.0,S10×1,13×1,5·5 | 11·11×1
B,3271,1,900424525,S10,13,7,baseline,0.0,S10×1,13×1,5·5 | 11·11×1
B,3307,1,910334425,S10,13,7,baseline,0.0,S10×1,13×1,5·5 | 11·11×1
B,3319,1,913637725,S10,13,7,baseline,0.0,S10×1,13×1,5·5 | 11·11×1
B,3331,1,916941025,S10,13,7,baseline,0.0,S10×1,13×1,5·5 | 11·11×1
B,3343,1,920244325,S10,13,7,baseline,0.0,S10×1,13×1,5·5 | 11·11×1
B,3391,1,933457525,S10,13,7,baseline,0.0,S10×1,13×1,5·5 | 11·11×1
B,3463,1,953277325,S10,13,7,baseline,0.0,S10×1,13×1,5·5 | 11·11×1
B,3499,1,963187225,S10,13,7,baseline,0.0,S10×1,13×1,5·5 | 11·11×1
B,3511,1,966490525,S10,13,7,baseline,0.0,S10×1,13×1,5·5 | 11·11×1
B,3547,1,976400425,S10,13,7,baseline,0.0,S10×1,13×1,5·5 | 11·11×1
B,3559,1,979703725,S10,13,7,baseline,0.0,S10×1,13×1,5·5 | 11·11×1
B,3571,1,983007025,S10,13,7,baseline,0.0,S10×1,13×1,5·5 | 11·11×1
B,3583,1,986310325,S10,13,7,baseline,0.0,S10×1,13×1,5·5 | 11·11×1
B,3607,1,992916925,S10,13,7,baseline,0.0,S10×1,13×1,5·5 | 11·11×1
B,3631,1,999523525,S10,13,7,baseline,0.0,S10×1,13×1,5·5 | 11·11×1
C,587,26,102827725,S4,13,11,baseline,0.0,"S4×6, S8×5, S6×4","13×18, 37×4, 61×1, 73×1, 97×1","5·5 | 7·7×12, 5·5 | 7·19×3, 5·17 | 7·7×3, 5·5 | 7·31×2, 5·29 | 7·7×1"
