n,e(E),a(A),b(B),c(C),k_ABC,e_share,resid_E8_abs,resid_E8_rel,bal_lam_alpha_std,bal_lam_alpha_min,bal_lam_alpha_max,bal_lam_alpha_argmin_u,bal_lam_alpha_argmax_u,blank_wedge_norm,P_E8_renorm_BC,pol_E8_deg,pol_BC_deg
2714569,13,41,463,11,1,0.173141924404484,0.0141845231877835,0.0144232299145261,0.0013761199020985457,-0.0010799793626732274,0.0036466653245482393,8,13,35.34119409414458,99.61908759505664,39.26563282171082,39.32809780795518
5892601,13,89,463,11,1,0.1645336535739237,0.014184684012588,0.0365734310888145,0.0020274836390328675,-0.00535801667534244,0.0016647983310306186,14,11,35.34119409414458,99.6191036162782,50.569427824154005,50.67190219204482
9865141,13,149,463,11,1,0.1592689305577343,0.0141853374184677,0.0690950541813824,0.0026233398237312123,-0.0022095418914322698,0.006858239299358006,8,13,35.34119409414458,99.61916870800752,39.23875087502227,39.32809780795518
9070633,13,137,463,11,1,0.1601036755643871,0.0141859727374011,0.0638682724238584,0.002515462655585702,-0.006861966358099617,0.0016857675526997281,14,11,35.34119409414458,99.61923199797162,50.51716162126812,50.67190219204482
692185,13,5,463,23,1,0.1907364681124565,0.0141954040396778,0.1111934458214548,0.001085043677165755,-0.0006292270407093313,0.0029747742157569426,3,2,15.652475842498529,99.62017154149171,50.41784771446796,50.49870693052872
4014673,13,29,463,23,1,0.168686002802799,0.0141954098220391,0.0116602720044716,0.0026130847922004254,-0.0014800719627973864,0.006978899494797174,3,2,15.652475842498529,99.62017211753157,50.41336764781892,50.49870693052872
5675917,13,41,463,23,1,0.1649300279653692,0.0141954109422709,0.034177977277515,0.003107112770505302,-0.008760614514881037,0.0019026105974664822,2,3,15.652475842498529,99.62017222912922,39.43866959312447,39.50129306947128
1414465,13,5,463,47,1,0.1811115604922142,0.0144002727903442,0.0592090475622097,0.00053048027609889,-0.0013183762527054388,0.0004899442855563943,13,8,32.01562118716424,99.6405826923087,50.85168056324944,50.93205737584274
8203897,13,29,463,47,1,0.1611136965498392,0.014400278570337,0.0577938504242819,0.001277561585835642,-0.003058129298073094,0.0012206215877897657,13,8,32.01562118716424,99.64058326823054,50.84723784568728,50.93205737584274
5474245,229,5,7,683,1,0.3502110319511466,0.0145748023371948,0.0030787700367003,0.003457575337338527,-0.00847099904860174,0.0018824460495413034,10,12,20.615528128088304,205.0553780443337,26.408561522743927,35.19489110589084
9127789,37,41,547,11,1,0.2253045049539796,0.0147107072397859,0.0353636022252386,0.002454889890775171,-0.00017918021917367728,0.007817146740283318,0,1,33.421549934136806,136.24869193616684,57.384678658524656,58.38716038633704
1775605,13,5,463,59,1,0.1782495781576563,0.0148519029709133,0.0428289123894171,0.00035012272113836215,-0.0008858785848428251,0.00025850019969600376,9,15,48.507731342539614,99.68559355002786,51.42676480171016,51.50708007664607
2136745,13,5,463,71,1,0.1759852881683551,0.0149523829785916,0.0299441412588864,0.0004322227171289781,-0.0005442447449082009,0.0006656784943164617,15,9,39.293765408777,99.69561046247448,50.46880825589143,50.54707452798152
196105,13,5,7,431,1,0.2104762848697048,0.015274219487441,0.2085948889824411,0.0016899267683933921,-0.0014212742504159934,0.004358837822021693,8,13,10.04987562112089,99.72770131342004,68.56180267709065,68.66915091796368
3490669,13,89,7,431,1,0.1702520100216394,0.0152743868498403,0.003498512949719,0.007128837864310905,-0.005067667674241245,0.018921138428907906,8,13,10.04987562112089,99.7277180040888,68.53394996685128,68.66915091796368
532285,13,5,19,431,1,0.1945363770104155,0.0152799041554499,0.1298353923923071,0.000504563922876088,-0.0012764146225185938,0.00044970317396781837,9,15,33.66006535941367,99.72826823390469,68.45566084961139,68.56263300752184
9474673,13,89,19,431,1,0.1596693322920082,0.0153005640084348,0.0676994378197904,0.002128728361997616,-0.0002772862413126784,0.006433908755388008,11,14,33.66006535941367,99.73032862654846,68.67135162482285,68.80592727520872
868465,13,5,31,431,1,0.1875719498245032,0.0153162809696094,0.0933423458774485,0.0004782704480515479,-0.0013547424936702934,0.0002193098124871127,10,12,35.510561809129406,99.73189609656932,68.21610615603328,68.32236640555541
2036485,61,5,607,11,1,0.2829867569232017,0.015374999203555,0.0328243344859782,0.0010615778897703802,-0.00281452449912928,0.0007703584793643401,14,11,34.655446902326915,159.8508439207313,55.21093577559969,55.74165169442784
7661605,457,5,7,479,1,0.3863731339676279,0.0153790517564935,0.0237095838100589,0.004816779179283073,-0.012531635326951687,0.001978950945836432,14,11,20.904544960366877,230.9447588786212,15.651924529371929,47.188368299008864
4258105,61,5,607,23,1,0.2693123495031762,0.0153792278021761,0.0167081387792302,0.002230637109693871,0.00010877836804847013,0.006762139238242161,0,1,16.492422502470642,159.85151986721866,55.09630911776518,55.6240690761294
1204645,13,5,43,431,1,0.1831884832743512,0.0154252416365654,0.0695864670501414,0.0005099945261784035,-0.0008401960868945244,0.0007324524319199063,9,15,33.301651610693426,99.74276354253612,68.49650575093787,68.60201395364341
8701345,61,5,607,47,1,0.2572674702927449,0.015458805462367,0.0625432888577117,0.002106538791084818,-0.005911590208223497,0.001170457718811939,13,8,17.46424919657298,159.86424098329925,55.320783004069874,55.84732237204828
2497885,13,5,463,83,1,0.1741196934849267,0.0157028971444833,0.0185361818169179,0.00025114858517982585,-0.00041198657907377155,0.0003443976259225306,14,11,67.62396025078685,99.77046151527806,51.12950366325456,51.207727423091725
1877005,13,5,67,431,1,0.1775642768457616,0.016034419436894,0.0377943696482426,0.0003123770053931182,-0.000898688742890725,5.4212978477848986e-05,2,3,54.36910887627275,99.80354313073798,67.02531915289268,67.12801438000524
2213185,13,5,79,431,1,0.1755618978226356,0.0164834129900749,0.0260043845256464,0.0012225033044729564,-0.003856328503451284,-3.7520042108761316e-05,1,0,13.892443989449804,99.84836433965224,68.09151184972511,68.1934306054655
9156805,397,5,7,659,1,0.3732959039522858,0.0175415361663367,0.0678138577828642,0.005854004755658297,-0.01714802629191902,0.000795856847640071,1,0,16.0312195418814,233.18932081294287,21.605693192829666,38.20683425759067
8449969,73,17,619,11,1,0.268999831670122,0.0178492777046297,0.027398934105917,0.0019289591943309136,-4.996444176605035e-05,0.006606404358300966,0,1,38.47076812334269,161.38213728788054,41.75945684575916,43.54055360763661
