N;label;rest235;nu2;nu3;nu5;theta;phase;radius;q0;qi;qj;qk;dir_i;dir_j;dir_k;amp_abs;amp_re;amp_im;x;y;z
198;c;11;1;2;0;-1.579577086545319;4.1887902047863905;6.35196578966939;1.0;1.0;2.0;2.4849066497880004;0.2991443999406693;0.5982887998813387;0.7433459086594104;0.6225862375859791;-0.3112931187929898;-0.5391754977960318;1.9001549945943095;3.800309989188619;4.721707781695282
199;b;199;0;0;0;-5.718469684739293;1.0471975511965976;6.357980839857643;1.0;0.0;0.0;5.298317366548036;0.0;0.0;1.0;0.17986640368288073;0.08993320184144038;0.1557688748767216;0.0;0.0;6.357980839857643
200;e;1;3;0;2;0.8456324100957751;4.71238898038469;6.363965889670891;1.0;3.0;0.0;2.6931471805599454;0.7441387654466988;0.0;0.6680250727027117;1.2887718659939593;-2.3674355107809955e-16;-1.2887718659939593;4.7356737204845984;0.0;4.251288776124975
201;b;67;0;1;0;-4.233983805833969;2.0943951023931953;6.369921236881446;1.0;0.0;1.0;4.219507705176107;0.0;0.23060676653757178;0.9730470282710317;0.28077682515092584;-0.14038841257546286;0.2431598633746433;0.0;1.46894693953624;6.198232929868025
202;a;101;1;0;0;-4.920031153346872;1.0471975511965976;6.375847174850144;1.0;1.0;0.0;4.624972813284271;0.2113339793111504;0.0;0.9774139088372511;0.22854792664958815;0.1142739633247941;0.19792831046080583;1.3474331549408372;0.0;6.231841709319224
203;c;203;0;0;0;-5.913407247230335;1.5707963267948966;6.3817439926130595;1.0;0.0;0.0;5.318119993844216;0.0;0.0;1.0;0.16964925584595367;1.0388020907473878e-17;0.16964925584595367;0.0;0.0;6.3817439926130595
204;a;17;2;1;0;-2.516541970380479;2.6179938779914944;6.38761197496609;1.0;2.0;1.0;2.8903717578961645;0.5472934650030556;0.2736467325015278;0.7909407872629824;0.470028197632852;-0.4070563596450626;0.23501409881642596;3.495898290874203;1.7479491454371014;5.052222844210133
205;e;41;0;0;1;-3.774751839022461;1.5707963267948966;6.393451402547497;1.0;0.0;0.0;4.737669618283368;0.0;0.0;1.0;0.3222506720389296;1.973216270177793e-17;0.3222506720389296;0.0;0.0;6.393451402547497
206;b;103;1;0;0;-5.005957603157105;1.5707963267948966;6.399262551918443;1.0;1.0;0.0;4.6443908991413725;0.21048962347891267;0.0;0.9775960916491562;0.22273172003274366;1.3638384400334197e-17;0.22273172003274366;1.346978365096019;0.0;6.255894060192275
207;c;23;0;2;0;-2.842327659251183;3.665191429188092;6.405045695641581;1.0;0.0;2.0;3.1780538303479458;0.0;0.5326231474140929;0.8463525168856683;0.42626319375379945;-0.36915475448907864;-0.21313159687689961;0.0;3.411475597743707;5.420926545273968
208;e;13;4;0;0;-2.169764489764627;2.0943951023931953;6.410801102357773;1.0;4.0;0.0;2.6390573296152584;0.8346998311758259;0.0;0.5507051768732956;0.5215608404933015;-0.26078042024665066;0.4516849374863627;5.351094597839832;0.0;3.530461354973456
