A-Paar,C-Paar,count,p(joint),p(A-Paar),p(C-Paar),lift
5·29,11·239,3,0.0003532736693358455,0.06064531323598681,0.006358926048045219,0.9160733549083064
5·137,11·107,1,0.00011775788977861517,0.007183231276495525,0.017899199246349504,0.9158757549611736
5·5,23·23,220,0.025906735751295335,0.5693593970796044,0.049811587376354216,0.913473221510802
5·5,11·47,226,0.02661328308996703,0.5693593970796044,0.051224682053697596,0.9124996136885022
5·113,11·131,1,0.00011775788977861517,0.009420631182289214,0.013895430993876589,0.8995762711864407
5·53,23·59,3,0.0003532736693358455,0.026966556759302873,0.014719736222326895,0.8899912663755459
5·101,23·71,1,0.00011775788977861517,0.011069241639189827,0.012011304757418746,0.8856904463913226
5·197,11·71,1,0.00011775788977861517,0.004357041921808761,0.030617051342439944,0.8827442827442828
5·41,11·167,3,0.0003532736693358455,0.0380357983984927,0.010598210080075365,0.8763673890608875
5·89,23·83,1,0.00011775788977861517,0.013306641544983514,0.010127178520960905,0.8738423543939081
5·29,11·227,3,0.0003532736693358455,0.06064531323598681,0.0067121997173810646,0.8678589678078692
29·29,11·83,1,0.00011775788977861517,0.0054168629298162975,0.02508243052284503,0.8667074913247602
17·29,23·71,1,0.00011775788977861517,0.011422515308525671,0.012011304757418746,0.8582979583586012
5·29,23·107,3,0.0003532736693358455,0.06064531323598681,0.0068299576071596795,0.8528958821560094
5·113,23·59,1,0.00011775788977861517,0.009420631182289214,0.014719736222326895,0.8492
5·5,11·23,507,0.05970325011775789,0.5693593970796044,0.12388130004710315,0.8464586093952132
17·53,11·71,1,0.00011775788977861517,0.004592557701365992,0.030617051342439944,0.8374753451676528
29·41,23·23,1,0.00011775788977861517,0.002826189354686764,0.049811587376354216,0.8364854215918045
5·233,23·23,1,0.00011775788977861517,0.002826189354686764,0.049811587376354216,0.8364854215918045
5·257,23·23,1,0.00011775788977861517,0.002826189354686764,0.049811587376354216,0.8364854215918045
5·89,11·167,1,0.00011775788977861517,0.013306641544983514,0.010598210080075365,0.8350049164208456
17·41,23·47,1,0.00011775788977861517,0.00706547338671691,0.02025435704192181,0.8228682170542635
29·41,11·47,1,0.00011775788977861517,0.002826189354686764,0.051224682053697596,0.8134099616858238
5·233,11·47,1,0.00011775788977861517,0.002826189354686764,0.051224682053697596,0.8134099616858238
5·257,11·47,1,0.00011775788977861517,0.002826189354686764,0.051224682053697596,0.8134099616858238
