n,e(E),a(A),b(B),c(C),k_ABC,R,ratio_e_over_R,resid_log,K_fit,alpha,K_over_alpha
2010865,61,5,19,347,1,19643.500189219158,0.0031053528858099493,0.06913233229079722,0.0033276278475209225,0.0072973525693,0.45600480666375776
4933885,109,5,823,11,1,30556.310022808062,0.003567184647578174,0.06951697850515505,0.0033276278475209225,0.0072973525693,0.45600480666375776
788137,37,17,7,179,1,10363.901779764517,0.003570084007573516,0.07032943500494925,0.0033276278475209225,0.0072973525693,0.45600480666375776
4510093,109,257,7,23,1,30528.904950198877,0.0035703868244802515,0.07041425207487073,0.0033276278475209225,0.0072973525693,0.45600480666375776
1878373,61,53,7,83,1,19681.254474208545,0.003099395929255319,0.07105246107035042,0.0033276278475209225,0.0072973525693,0.45600480666375776
4931269,109,281,7,23,1,35183.324770235646,0.0030980585465365603,0.07148405205492084,0.0033276278475209225,0.0072973525693,0.45600480666375776
1783213,61,41,31,23,1,19701.819715162263,0.003096160704031577,0.07209683067563089,0.0033276278475209225,0.0072973525693,0.45600480666375776
1827133,61,389,7,11,1,17046.62793967671,0.0035784203313325128,0.072661762759886,0.0033276278475209225,0.0072973525693,0.45600480666375776
7956289,157,17,271,11,1,43872.78900539249,0.003578527911245916,0.07269182582860333,0.0033276278475209225,0.0072973525693,0.45600480666375776
4143937,97,17,7,359,1,31348.911349250742,0.003094206332058748,0.07272825431379909,0.0033276278475209225,0.0072973525693,0.45600480666375776
3794737,97,29,19,71,1,31357.843661211507,0.003093324944405709,0.07301314585442137,0.0033276278475209225,0.0072973525693,0.45600480666375776
4257649,109,53,67,11,1,30447.839536642296,0.00357989274965879,0.07307314972505038,0.0033276278475209225,0.0072973525693,0.45600480666375776
2621065,73,5,43,167,1,23606.445743081687,0.003092375734767019,0.07332005034119574,0.0033276278475209225,0.0072973525693,0.45600480666375776
3891349,97,521,7,11,1,27061.811096025325,0.0035843868562901457,0.07432773705776619,0.0033276278475209225,0.0072973525693,0.45600480666375776
