window,n_start,n_end,metric,corr_local_detrended_theta_log12,mean_metric,mean_theta_log12
87,87001,88000,r,-0.7656121504670335,0.03082916973608892,0.003021797467980635
87,87001,88000,Delta,0.7656109310622943,0.9849472751625464,0.003021797467980635
87,87001,88000,Lambda,0.7656232828228637,0.3330165204595329,0.003021797467980635
88,88001,89000,r,0.019320744541111226,0.030725159166165285,0.0014921571388221365
88,88001,89000,Delta,-0.019334656705588895,0.9849968248150339,0.0014921571388221365
88,88001,89000,Lambda,-0.019192821386933387,0.3330186545685895,0.0014921571388221365
89,89001,90000,r,-0.04563417769557014,0.030622649129871084,0.0021783432930212667
89,89001,90000,Delta,0.04562620577358208,0.9850456679258722,0.0021783432930212667
89,89001,90000,Lambda,0.045707760685290526,0.3330207508323782,0.0021783432930212667
90,90001,91000,r,0.1565133149380168,0.03052160107535812,0.0037398107427269647
90,90001,91000,Delta,-0.15651208233692232,0.9850938225056133,0.0037398107427269647
90,90001,91000,Lambda,-0.15652472416094176,0.33302281034299497,0.0037398107427269647
91,91001,92000,r,-0.14685699174331504,0.03042197908294866,0.004876168507620746
91,91001,92000,Delta,0.14685073352617947,0.9851413053275594,0.004876168507620746
91,91001,92000,Lambda,0.14691520257207372,0.3330248341244151,0.004876168507620746
92,92001,93000,r,0.8601217488241574,0.03032374711640702,0.0048960430535349994
92,92001,93000,Delta,-0.8601181995501481,0.9851881332367577,0.0048960430535349994
92,92001,93000,Lambda,-0.8601548585412162,0.33302682318928917,0.0048960430535349994
93,93001,94000,r,0.33972306387968837,0.030226871882079055,0.004301410319922058
93,93001,94000,Delta,-0.3397072999282428,0.9852343217863373,0.004301410319922058
93,93001,94000,Lambda,-0.3398707842856702,0.3330287784816301,0.004301410319922058
94,94001,95000,r,0.19685827679305148,0.030131320057833522,0.003506495503135536
94,94001,95000,Delta,-0.1968718831874223,0.9852798865575872,0.003506495503135536
94,94001,95000,Lambda,-0.1967302705694804,0.3330307009336887,0.003506495503135536
95,95001,96000,r,0.2767989909892562,0.030037059840506947,0.0034409102334501214
95,95001,96000,Delta,-0.27679739580645235,0.9853248424215566,0.0034409102334501214
95,95001,96000,Lambda,-0.27681403886945666,0.3330325914352292,0.0034409102334501214
96,96001,97000,r,0.6633464554540908,0.029944060707098975,0.0032829693649502234
96,96001,97000,Delta,-0.6633500491067811,0.985369203652052,0.0032829693649502234
96,96001,97000,Lambda,-0.6633123789008654,0.3330344508390758,0.0032829693649502234
97,97001,98000,r,0.45482893618858566,0.02985229313365996,0.0031842916554428173
97,97001,98000,Delta,-0.45481762073429616,0.9854129840589724,0.0031842916554428173
97,97001,98000,Lambda,-0.4549365159061865,0.33303627996737506,0.0031842916554428173
98,98001,99000,r,-0.21887022197846168,0.02976172841948825,0.003410944530783325
98,98001,99000,Delta,0.21889055126809892,0.9854561970715486,0.003410944530783325
98,98001,99000,Lambda,0.21867620643803765,0.33303807961563175,0.003410944530783325
99,99001,100000,r,0.7362634480325647,0.029672338749070774,0.0036322972760389908
99,99001,100000,Delta,-0.7362576465477267,0.9854988557082177,0.0036322972760389908
99,99001,100000,Lambda,-0.736318985539677,0.33303985055196245,0.0036322972760389908
