A-Paar,B-Paar,count,p(joint),p(A-Paar),p(B-Paar),lift
5·233,7·19,3,0.0003532736693358455,0.002826189354686764,0.12823834196891193,0.9747474747474746
5·257,7·19,3,0.0003532736693358455,0.002826189354686764,0.12823834196891193,0.9747474747474746
17·29,7·127,1,0.00011775788977861517,0.011422515308525671,0.010598210080075365,0.9727376861397481
5·17,7·7,442,0.05204898728214791,0.12317475270843146,0.4347621290626472,0.9719387068106535
5·29,31·43,3,0.0003532736693358455,0.06064531323598681,0.006005652378709373,0.9699600228440892
5·41,31·31,3,0.0003532736693358455,0.0380357983984927,0.009656146961846444,0.9618666465302425
5·41,7·139,3,0.0003532736693358455,0.0380357983984927,0.009656146961846444,0.9618666465302425
5·137,7·31,4,0.0004710315591144607,0.007183231276495525,0.06818181818181818,0.9617486338797815
17·17,7·211,1,0.00011775788977861517,0.024258125294394726,0.005063589260480453,0.9586814179272972
29·29,7·31,3,0.0003532736693358455,0.0054168629298162975,0.06818181818181818,0.9565217391304349
17·17,7·67,5,0.0005887894488930759,0.024258125294394726,0.025435704192180875,0.9542430780294857
5·89,19·31,2,0.00023551577955723034,0.013306641544983514,0.018605746585021198,0.9512714237705836
5·149,7·79,1,0.00011775788977861517,0.006123410268487989,0.020372114931700425,0.9439751000444643
29·41,7·43,1,0.00011775788977861517,0.002826189354686764,0.04439472444653792,0.938549955791335
5·233,7·43,1,0.00011775788977861517,0.002826189354686764,0.04439472444653792,0.938549955791335
5·257,7·43,1,0.00011775788977861517,0.002826189354686764,0.04439472444653792,0.938549955791335
5·173,7·67,1,0.00011775788977861517,0.004945831370701837,0.025435704192180875,0.936067019400353
5·29,19·67,3,0.0003532736693358455,0.06064531323598681,0.006241168158266604,0.9333577578311046
17·41,19·19,2,0.00023551577955723034,0.00706547338671691,0.03579839849269901,0.931140350877193
17·29,7·43,4,0.0004710315591144607,0.011422515308525671,0.04439472444653792,0.9288741830512182
5·5,7·19,575,0.06771078662270372,0.5693593970796044,0.12823834196891193,0.9273709170296552
5·89,31·31,1,0.00011775788977861517,0.013306641544983514,0.009656146961846444,0.9164688107058062
5·89,7·139,1,0.00011775788977861517,0.013306641544983514,0.009656146961846444,0.9164688107058062
17·17,7·127,2,0.00023551577955723034,0.024258125294394726,0.010598210080075365,0.9160733549083063
5·137,19·19,2,0.00023551577955723034,0.007183231276495525,0.03579839849269901,0.9158757549611736
5·53,31·31,2,0.00023551577955723034,0.026966556759302873,0.009656146961846444,0.9044626690808394
5·53,7·139,2,0.00023551577955723034,0.026966556759302873,0.009656146961846444,0.9044626690808394
