Omega,P_E,P_A,P_B,P_C,P_total
2.201608943219463,26894.588658363893,27887.551893633386,27223.61941137369,27554.22143509655,109559.98139846751
2.2139028479301865,26894.5728528091,27887.535676293846,27223.60395017316,27554.201517088833,109559.91399636494
2.22619675264091,26894.556959251484,27887.519368657417,27223.58840288606,27554.181488182254,109559.84621897721
2.238490657351633,26894.540977691224,27887.502970724283,27223.572769512524,27554.16134837704,109559.77806630507
2.2507845620623566,26894.524908128482,27887.486482494573,27223.557050052743,27554.141097673455,109559.70953834924
2.2630784667730794,26894.508750563433,27887.469903968475,27223.541244506814,27554.120736071738,109559.64063511045
2.275372371483803,26894.49250499628,27887.453235146135,27223.52535287494,27554.100263572152,109559.57135658951
2.287666276194526,26894.476171427166,27887.436476027713,27223.509375157275,27554.079680174902,109559.50170278706
2.2999601809052495,26894.4597498563,27887.41962661338,27223.493311353966,27554.058985880318,109559.43167370396
2.312254085615973,26894.443240283854,27887.402686903282,27223.477161465165,27554.038180688574,109559.36126934088
2.324547990326696,26894.426642709994,27887.385656897608,27223.46092549106,27554.017264599966,109559.29048969863
2.336841895037419,26894.40995713494,27887.368536596503,27223.444603431773,27553.996237614752,109559.21933477797
2.3491357997481424,26894.39318355884,27887.35132600014,27223.428195287495,27553.97509973316,109559.14780457964
2.3614297044588657,26894.376321981897,27887.334025108685,27223.411701058387,27553.953850955484,109559.07589910446
2.373723609169589,26894.35937240428,27887.316633922317,27223.395120744593,27553.932491281972,109559.00361835316
2.3860175138803124,26894.34233482619,27887.29915244119,27223.37845434628,27553.911020712872,109558.93096232653
2.3983114185910352,26894.325209247825,27887.28158066547,27223.361701863632,27553.889439248458,109558.85793102538
2.4106053233017586,26894.307995669362,27887.26391859535,27223.3448632968,27553.867746888995,109558.7845244505
2.422899228012482,26894.290694090978,27887.24616623098,27223.327938645954,27553.845943634733,109558.71074260263
2.4351931327232053,26894.273304512895,27887.228323572534,27223.310927911254,27553.824029485964,109558.63658548266
2.4474870374339286,26894.25582693526,27887.210390620203,27223.29383109289,27553.802004442947,109558.5620530913
2.459780942144652,26894.238261358314,27887.192367374137,27223.276648191,27553.779868505924,109558.48714542938
2.472074846855375,26894.220607782227,27887.17425383453,27223.259379205778,27553.7576216752,109558.41186249774
2.484368751566098,26894.20286620719,27887.156050001548,27223.24202413739,27553.73526395104,109558.33620429717
2.4966626562768215,26894.185036633407,27887.137755875363,27223.224582986004,27553.712795333704,109558.26017082848
2.508956560987545,26894.167119061065,27887.11937145617,27223.207055751798,27553.690215823477,109558.1837620925
2.521250465698268,26894.149113490377,27887.10089674413,27223.189442434934,27553.66752542064,109558.10697809007
2.5335443704089915,26894.13101992152,27887.082331739424,27223.171743035582,27553.644724125446,109558.02981882197
2.5458382751197144,26894.112838354707,27887.06367644224,27223.153957553943,27553.6218119382,109557.95228428909
2.5581321798304377,26894.094568790148,27887.04493085276,27223.13608599017,27553.598788859188,109557.87437449227
2.570426084541161,26894.076211228024,27887.02609497116,27223.118128344457,27553.575654888664,109557.79608943232
2.5827199892518844,26894.05776566855,27887.00716879761,27223.100084616966,27553.552410026936,109557.71742911007
2.5950138939626077,26894.039232111914,27886.98815233233,27223.081954807876,27553.529054274266,109557.63839352637
2.607307798673331,26894.02061055835,27886.969045575464,27223.063738917386,27553.505587630956,109557.55898268215
2.619601703384054,26894.001901008054,27886.949848527223,27223.04543694564,27553.48201009728,109557.4791965782
2.6318956080947773,26893.983103461196,27886.93056118778,27223.02704889286,27553.458321673534,109557.39903521538
2.6441895128055006,26893.964217918034,27886.911183557335,27223.008574759206,27553.43452236001,109557.31849859458
2.656483417516224,26893.945244378738,27886.891715636077,27222.99001454486,27553.41061215699,109557.23758671667
2.6687773222269473,26893.926182843545,27886.872157424157,27222.97136825001,27553.386591064773,109557.1562995825
2.6810712269376706,26893.907033312647,27886.852508921813,27222.952635874837,27553.362459083655,109557.07463719296
2.6933651316483935,26893.887795786264,27886.832770129222,27222.933817419536,27553.33821621393,109556.99259954896
2.705659036359117,26893.8684702646,27886.812941046563,27222.914912884284,27553.313862455892,109556.91018665134
2.71795294106984,26893.849056747873,27886.793021674035,27222.895922269265,27553.289397809844,109556.82739850102
2.7302468457805635,26893.8295552363,27886.77301201183,27222.87684557467,27553.264822276073,109556.74423509889
2.742540750491287,26893.809965730095,27886.75291206013,27222.857682800703,27553.24013585489,109556.66069644582
2.75483465520201,26893.79028822947,27886.732721819168,27222.838433947538,27553.215338546586,109556.57678254275
2.767128559912733,26893.770522734652,27886.712441289103,27222.81909901535,27553.19043035147,109556.49249339059
2.7794224646234564,26893.750669245834,27886.692070470144,27222.799678004365,27553.165411269867,109556.4078289902
2.7917163693341798,26893.73072776326,27886.671609362475,27222.780170914742,27553.140281302054,109556.32278934254
2.804010274044903,26893.710698287134,27886.65105796633,27222.7605777467,27553.115040448356,109556.23737444851
2.8163041787556264,26893.6905808177,27886.63041628188,27222.74089850041,27553.089688709064,109556.15158430906
2.8285980834663493,26893.67037535516,27886.609684309322,27222.7211331761,27553.064226084512,109556.06541892508
2.8408919881770727,26893.65008189973,27886.588862048877,27222.70128177393,27553.03865257498,109555.97887829751
2.853185892887796,26893.62970045166,27886.56794950072,27222.681344294124,27553.01296818081,109555.89196242733
