k,t_k,Delta_t,n_k,mod12,label,q_e,q_a,q_b,q_c,sigma_t,Delta_eff,T,S_ent,u_e,u_a,u_b,u_c,u_norm,Delta_t_active
1065,10452.841460594309,9.808881731307402,10453,1,E,1.0,0.0,0.0,0.0,0.0034893534183931974,9.805809230881877,6.283185307179586,3.0,0.0,0.0,0.0,1.0,1.0,19.61620603130723
1066,10462.648473433463,9.80701283915331,10463,11,C,0.0,0.0,0.0,1.0,0.0034893534183931974,9.805809230881877,6.283185307179586,3.0,0.0,0.0,0.0,0.0,0.0,9.807012839153685
1073,10531.302700533886,9.80838376443693,10531,7,B,0.0,0.0,1.0,0.0,0.0034893534183931974,9.805809230881877,6.283185307179586,3.0,0.0,0.0,0.0,1.0,1.0,68.65422710042367
1074,10541.10710090506,9.804400371172084,10541,5,A,0.0,1.0,0.0,0.0,0.0034893534183931974,9.805809230881877,6.283185307179586,3.0,0.0,0.0,0.0,0.0,0.0,9.80440037117296
1076,10560.711339876816,9.805808146679993,10561,1,E,1.0,0.0,0.0,0.0,0.0034893534183931974,9.805809230881877,6.283185307179586,3.0,0.0,0.0,0.0,1.0,1.0,19.604238971756786
1077,10570.513025356997,9.801685480181494,10571,11,C,0.0,0.0,0.0,1.0,0.0034893534183931974,9.805809230881877,6.283185307179586,3.0,0.0,0.0,0.0,0.0,0.0,9.801685480180822
1084,10639.15368244348,9.79756436292785,10639,7,B,0.0,0.0,1.0,0.0,0.0034893534183931974,9.805809230881877,6.283185307179586,3.0,0.0,0.0,0.0,1.0,1.0,68.64065708648377
1085,10648.960332388233,9.806649944752138,10649,5,A,0.0,1.0,0.0,0.0,0.0034893534183931974,9.805809230881877,6.283185307179586,3.0,0.0,0.0,0.0,0.0,0.0,9.80664994475228
1087,10668.573210282291,9.804904296263727,10669,1,E,1.0,0.0,0.0,0.0,0.0034893534183931974,9.805809230881877,6.283185307179586,3.0,0.0,0.0,0.0,0.0,0.0,19.61287789405833
1093,10727.414529572936,9.79903244536976,10727,11,C,0.0,0.0,0.0,1.0,0.0034893534183931974,9.805809230881877,6.283185307179586,3.0,0.0,0.0,0.0,0.0,0.0,58.841319290644606
1095,10747.018951307029,9.799786990693892,10747,7,B,0.0,0.0,1.0,0.0,0.0034893534183931974,9.805809230881877,6.283185307179586,3.0,0.0,0.0,0.0,1.0,1.0,19.604421734093194
1096,10756.82689336271,9.807942055681018,10757,5,A,0.0,1.0,0.0,0.0,0.0034893534183931974,9.805809230881877,6.283185307179586,3.0,0.0,0.0,0.0,0.0,0.0,9.807942055680542
1103,10825.482541293537,9.806801845702081,10825,1,E,1.0,0.0,0.0,0.0,0.0034893534183931974,9.805809230881877,6.283185307179586,3.0,0.0,0.0,0.0,1.0,1.0,68.6556479308274
1104,10835.289065354473,9.806524060936436,10835,11,C,0.0,0.0,0.0,1.0,0.0034893534183931974,9.805809230881877,6.283185307179586,3.0,0.0,0.0,0.0,0.0,0.0,9.806524060935772
1106,10854.902651266468,9.807387173806674,10855,7,B,0.0,0.0,1.0,0.0,0.0034893534183931974,9.805809230881877,6.283185307179586,3.0,0.0,0.0,0.0,1.0,1.0,19.61358591199496
