Omega,P_E_centered,P_A_centered,P_B_centered,P_C_centered,P_total_centered
1.0582758051222,0.0007587453178051521,0.0007192214213735783,0.002040094531683877,0.0019749736382148934,0.005493034909077502
1.0705697098329234,0.000776475828822685,0.0007360282208888275,0.002087769056224665,0.002021126838151655,0.005621399944087833
1.0828636145436468,0.0007944111033580889,0.0007530291112231401,0.002135994212645722,0.0020678131208567625,0.005751247548083713
1.0951575192543699,0.0008125511406920012,0.0007702240915173813,0.002184770000914795,0.0021150324870492904,0.005882577720173468
1.1074514239650932,0.0008308959400942248,0.0007876131609027985,0.0022340964210029626,0.0021627849374648723,0.006015390459464858
1.1197453286758166,0.0008494455008273889,0.0008051963185045526,0.0022839734728743602,0.0022110704728452854,0.006149685765051587
1.1320392333865397,0.0008681998221481166,0.000822973563433774,0.0023344011565004856,0.0022598890939379375,0.0062854636360203135
1.144333138097263,0.0008871589033014089,0.000840944894792968,0.0023853794718475658,0.0023092408015004625,0.006422724071442405
1.1566270428079863,0.0009063227435259767,0.0008591103116753724,0.002436908418885008,0.00235912559630138,0.006561467070387737
1.1689209475187095,0.0009256913420523669,0.0008774698131655335,0.0024889879975753646,0.002409543479110156,0.006701692631903421
1.1812148522294328,0.0009452646981012464,0.0008960233983362184,0.0025416182078874428,0.002460494450714327,0.0068434007550392355
1.1935087569401561,0.0009650428108881578,0.0009147710662499992,0.0025947990497898355,0.002511978511900017,0.006986591438828009
1.2058026616508792,0.0009850256796169136,0.0009337128159628784,0.0026485305232444266,0.0025639956634682134,0.007131264682292433
1.2180965663616026,0.00100521330348441,0.0009528486465179228,0.0027028126282185936,0.002616545906228582,0.007277420484449508
1.230390471072326,0.0010256056816807752,0.0009721785569487321,0.0027576453646765997,0.002669629240990844,0.00742505884429695
1.242684375783049,0.0010462028133870747,0.000991702546280781,0.0028130287325847706,0.0027232456685823024,0.007574179760834929
1.2549782804937724,0.001067004697773286,0.001011420613529267,0.0028689627319050683,0.0027773951898355897,0.007724783233043212
1.2672721852044957,0.0010880113340072481,0.0010313327576983995,0.002925447362604146,0.0028320778055887464,0.00787686925989854
1.2795660899152188,0.001109222721242177,0.0010514389777837234,0.0029824826246433326,0.0028872935166921986,0.008030437840361431
1.2918599946259421,0.0011306388586268187,0.001071739272770144,0.0030400685179869406,0.002943042324001208,0.008185488973385112
1.3041538993366655,0.0011522597453002485,0.001092233641634156,0.0030982050425977033,0.002999324228383479,0.008342022657915588
1.3164478040473886,0.0011740853803963382,0.0011129220833397142,0.0031568921984404925,0.00305613923070736,0.008500038892883905
1.328741708758112,0.0011961157630354423,0.0011338045968444597,0.003216129985474513,0.0031134873318579594,0.008659537677212375
1.3410356134688353,0.0012183508923325728,0.001154881181094423,0.0032759184036617733,0.0031713685327270434,0.008820519009815812
1.3533295181795584,0.0012407907673950107,0.0011761518350255967,0.0033362574529648037,0.0032297828342084294,0.00898298288959384
1.3656234228902817,0.0012634353873220473,0.0011976165575648438,0.0033971471333458015,0.0032887302372116172,0.00914692931544431
1.377917327601005,0.001286284751204037,0.0012192753476293723,0.003458587444764075,0.003348210742649238,0.009312358286246722
1.3902112323117282,0.0013093388581217951,0.001241128204125081,0.003520578387181588,0.0034082243514456574,0.00947926980087412
1.4025051370224515,0.0013325977071494285,0.0012631751259494838,0.003583119960556175,0.0034687710645302555,0.009647663858185343
