e,exc_combo,count,p(e|combo)
6229,grundzustand,1,0.004830917874396135
6217,grundzustand,1,0.004830917874396135
6133,grundzustand,1,0.004830917874396135
6121,grundzustand,1,0.004830917874396135
5101,grundzustand,1,0.004830917874396135
5077,grundzustand,1,0.004830917874396135
4993,grundzustand,1,0.004830917874396135
3697,grundzustand,1,0.004830917874396135
4057,grundzustand,1,0.004830917874396135
4021,grundzustand,1,0.004830917874396135
2089,grundzustand,1,0.004830917874396135
3877,grundzustand,1,0.004830917874396135
3853,grundzustand,1,0.004830917874396135
3793,grundzustand,1,0.004830917874396135
3769,grundzustand,1,0.004830917874396135
3733,grundzustand,1,0.004830917874396135
3709,grundzustand,1,0.004830917874396135
3673,grundzustand,1,0.004830917874396135
4129,grundzustand,1,0.004830917874396135
3637,grundzustand,1,0.004830917874396135
3613,grundzustand,1,0.004830917874396135
3541,grundzustand,1,0.004830917874396135
3529,grundzustand,1,0.004830917874396135
3517,grundzustand,1,0.004830917874396135
3469,grundzustand,1,0.004830917874396135
3457,grundzustand,1,0.004830917874396135
3433,grundzustand,1,0.004830917874396135
3373,grundzustand,1,0.004830917874396135
4093,grundzustand,1,0.004830917874396135
4153,grundzustand,1,0.004830917874396135
4969,grundzustand,1,0.004830917874396135
4621,grundzustand,1,0.004830917874396135
4957,grundzustand,1,0.004830917874396135
4933,grundzustand,1,0.004830917874396135
4909,grundzustand,1,0.004830917874396135
4861,grundzustand,1,0.004830917874396135
4813,grundzustand,1,0.004830917874396135
4801,grundzustand,1,0.004830917874396135
4789,grundzustand,1,0.004830917874396135
