center,a0,b0,c0,rad_abc,abc_quality_q,abc_eps_eff,e_near,d_e,K_add,GP_235,BridgeP_M
663585,440345052209,12,440345052221,1163422590061386458437134,0.48383279858711775,-0.5161672014128822,663589,4.0,5.187385805840755,0.0,-5.187385805840755
664665,441779562209,12,441779562221,1171015089545262334237134,0.4838346961799054,-0.5161653038200946,664669,4.0,5.231108616854587,0.0,-5.231108616854587
666435,444135609209,12,444135609221,1183538636236675157497134,0.48383779850639574,-0.5161622014936043,666433,2.0,-5.220355825078324,0.0,5.220355825078324
680295,462801287009,12,462801287021,1285110187576442445661134,0.48386176997940494,-0.516138230020595,680293,2.0,-5.332718793265369,0.0,5.332718793265369
681255,464108375009,12,464108375021,1292379502554383257501134,0.4838634096086689,-0.5161365903913311,681253,2.0,-5.332718793265369,0.0,5.332718793265369
691725,478483475609,12,478483475621,1373678618619661797769134,0.48388112202232386,-0.5161188779776762,691729,4.0,5.293304824724492,0.0,-5.293304824724492
705165,497257677209,12,497257677221,1483591185295542780937134,0.48390341454941665,-0.5160965854505833,705169,4.0,5.093750200806762,0.0,-5.093750200806762
715155,511446674009,12,511446674021,1569466202166034057321134,0.4839196721100098,-0.5160803278899901,715153,2.0,-5.220355825078324,0.0,5.220355825078324
734475,539453525609,12,539453525621,1746060637790720766769134,0.48395038886673447,-0.5160496111332655,734473,2.0,-5.3612921657094255,0.0,5.3612921657094255
736365,542233413209,12,542233413221,1764102446440733619817134,0.48395334406035423,-0.5160466559396457,736369,4.0,5.342334251964811,0.0,-5.342334251964811
739395,546704966009,12,546704966021,1793317919192773829881134,0.48395806370288946,-0.5160419362971105,739393,2.0,-5.3230099791384085,0.0,5.3230099791384085
768195,590123558009,12,590123558021,2089474882345698424441134,0.4840018490633779,-0.515998150936622,768193,2.0,-5.53338948872752,0.0,5.53338948872752
773025,597567650609,12,597567650621,2142522582369184259269134,0.4840090083438579,-0.515990991656142,773029,4.0,5.631211781821365,0.0,-5.631211781821365
795795,633289682009,12,633289682021,2406334928079958886761134,0.4840420842880006,-0.5159579157119993,795793,2.0,-5.60947179518496,0.0,5.60947179518496
803445,645523868009,12,645523868021,2500206385062282840241134,0.48405295474423066,-0.5159470452557693,803449,4.0,5.638354669333745,0.0,-5.638354669333745
814065,662701824209,12,662701824221,2635042246907332562197134,0.48406785105218103,-0.515932148947819,814069,4.0,5.594711379601839,0.0,-5.594711379601839
822165,675955287209,12,675955287221,2741493301883478854737134,0.484079064197197,-0.515920935802803,822169,4.0,5.54907608489522,0.0,-5.54907608489522
823725,678522875609,12,678522875621,2762359756397092569769134,0.48408120927407,-0.5159187907259299,823729,4.0,5.517452896464707,0.0,-5.517452896464707
829725,688443575609,12,688443575621,2843727340833397335769134,0.4840894165407226,-0.5159105834592774,829729,4.0,5.3706380281276624,0.0,-5.3706380281276624
833715,695080701209,12,695080701221,2898823087209216614857134,0.4840948369376968,-0.5159051630623033,833713,2.0,-5.342334251964811,0.0,5.342334251964811
837075,700694555609,12,700694555621,2945837161611013968169134,0.48409937855456175,-0.5159006214454382,837073,2.0,-5.3612921657094255,0.0,5.3612921657094255
845985,715690620209,12,715690620221,3073278383182388199877134,0.4841113218535018,-0.5158886781464982,845989,4.0,5.4680601411351315,0.0,-5.4680601411351315
854925,730896755609,12,730896755621,3205260404211198204169134,0.48412316186822946,-0.5158768381317705,854929,4.0,5.3230099791384085,0.0,-5.3230099791384085
855735,732282390209,12,732282390221,3217424994113961166477134,0.48412422763090207,-0.5158757723690979,855733,2.0,-5.37989735354046,0.0,5.37989735354046
857955,736086782009,12,736086782021,3250942503943188764761134,0.4841271427157753,-0.5158728572842247,857953,2.0,-5.3230099791384085,0.0,5.3230099791384085
875265,766088820209,12,766088820221,3521352482750463555877134,0.48414958122205687,-0.5158504187779431,875269,4.0,5.41610040220442,0.0,-5.41610040220442
876015,767402280209,12,767402280221,3533437558075088282677134,0.4841505419515737,-0.5158494580484263,876013,2.0,-5.41610040220442,0.0,5.41610040220442
881475,776998175609,12,776998175621,3622356989454230283769134,0.4841575078857742,-0.5158424921142257,881473,2.0,-5.442417710521793,0.0,5.442417710521793
889875,791877515609,12,791877515621,3762419998419507412969134,0.4841681291001234,-0.5158318708998766,889873,2.0,-5.579729825986222,0.0,5.579729825986222
907395,823365686009,12,823365686021,4067586317441709399481134,0.48418991829394203,-0.515810081706058,907393,2.0,-5.564520407322694,0.0,5.564520407322694
930075,865039505609,12,865039505621,4489760077647861699169134,0.48421742237708254,-0.5157825776229175,930073,2.0,-5.484796933490655,0.0,5.484796933490655
