n,epsilon,kappa,C_fam,K,K2,K3,rho_E,rho_A,rho_B,rho_C,mB,sB,fam_support
923,1.0,0.37567203334647703,0.6619055667664003,0.6619055667664003,6.519893501526862,4.519245798134454,0.37567203334647703,0.0,0.0,0.6243279666535231,923,1,E·C
924,0.6361090314369331,1.0,0.6877238766120716,0.43746736904775774,1.1646774605024721,1.2784090697544317,0.0,0.0,0.4479735992007008,0.5520264007992992,77,12,B·C
925,1.0,0.4712991268226195,0.6914987943927448,0.6914987943927448,6.813551678340152,4.72279413544096,0.5287008731773806,0.4712991268226195,0.0,0.0,925,1,E·A
926,0.8985273104510834,0.10147268954891664,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,463,2,B
927,0.6783900013005674,0.32160999869943274,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,103,9,B
928,0.4927967499154937,0.5072032500845063,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,29,32,A
929,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,929,1,A
930,0.7378623142293232,0.4976013944898105,0.6262013662895005,0.462050389303935,1.6229935901854649,2.036197471300858,0.0,0.31911605211206506,0.6808839478879348,0.0,155,6,A·B
931,1.0,0.5692909148496731,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,931,1,B
932,0.7972463241598634,0.20275367584013654,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,233,4,A
933,0.839346710760576,0.160653289239424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,311,3,C
934,0.8986549355319596,0.10134506446804038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,467,2,C
935,1.0,0.5858206165362013,0.6477811892939516,0.6477811892939516,6.392837611463122,4.431177366163238,0.0,0.6494585246176645,0.0,0.3505414753823355,935,1,A·C
936,0.3749040509920768,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,13,72,E
937,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,937,1,E
