n,r1,r2,r3,r4
644605,5,1,11,7
645169,7,1,11,5
645265,5,11,7,1
645541,1,5,11,7
646345,5,7,11,1
648193,7,1,5,11
648445,5,7,1,11
648505,5,11,1,7
648725,5,7,11,1
649285,5,7,1,11
649495,5,7,11,1
651385,5,7,1,11
651805,5,7,11,1
652561,7,1,11,5
653065,5,7,11,1
653315,5,1,7,11
653653,7,11,1,5
654265,5,7,11,1
654445,5,11,1,7
654745,5,7,1,11
655105,5,11,7,1
656305,5,1,11,7
656825,5,1,7,11
657085,5,11,1,7
658801,11,1,5,7
659525,5,11,7,1
659617,7,5,11,1
660205,5,7,1,11
660265,5,1,7,11
660517,11,1,7,5
660649,11,7,5,1
660725,5,1,7,11
662389,7,1,5,11
662929,7,11,1,5
663205,5,11,1,7
663481,7,1,11,5
663817,7,11,1,5
663985,5,7,1,11
664741,7,11,5,1
664895,5,7,11,1
665245,5,7,11,1
666425,5,7,11,1
666757,7,1,5,11
666985,5,11,7,1
667345,5,7,11,1
667585,5,7,11,1
667645,5,11,1,7
667849,7,1,5,11
668005,5,1,7,11
668701,11,7,1,5
668899,7,11,5,1
670285,5,7,11,1
671125,5,7,1,11
671305,5,7,1,11
671365,5,7,1,11
671825,5,7,11,1
671965,5,7,1,11
672217,7,1,11,5
672685,5,1,7,11
672805,5,7,11,1
673141,7,11,1,5
673585,5,11,1,7
674713,1,5,7,11
674905,5,7,11,1
675697,11,7,5,1
675961,11,1,5,7
676585,5,7,1,11
676885,5,11,7,1
677545,5,11,1,7
677677,7,11,1,5
677845,5,7,11,1
680225,5,7,1,11
681037,7,5,11,1
681265,5,1,11,7
681421,1,11,7,5
681725,5,11,1,7
682045,5,7,1,11
682165,5,11,7,1
682885,5,7,1,11
683905,5,7,11,1
684145,5,7,11,1
685009,1,11,5,7
685055,5,7,11,1
685165,5,1,11,7
685321,7,1,5,11
685729,11,5,7,1
686665,5,7,11,1
686905,5,1,11,7
687115,5,11,1,7
687505,5,7,1,11
687973,11,1,5,7
688045,5,11,7,1
688237,11,7,1,5
688345,5,7,11,1
688765,5,7,11,1
689533,1,5,7,11
689689,7,11,1,5
690745,5,11,7,1
691405,5,11,1,7
692185,5,1,11,7
692545,5,7,11,1
692825,5,7,1,11
692965,5,7,1,11
693385,5,7,11,1
693565,5,11,1,7
693935,5,11,7,1
694057,7,1,5,11
694837,11,1,7,5
695305,5,1,7,11
695905,5,7,11,1
695929,1,5,11,7
696493,7,5,11,1
696865,5,1,11,7
697345,5,11,7,1
698005,5,7,11,1
698269,11,1,7,5
698929,7,11,5,1
699205,5,1,7,11
699853,7,11,1,5
700105,5,7,11,1
701005,5,7,11,1
701195,5,11,7,1
701233,1,5,7,11
701545,5,1,7,11
701701,7,11,1,5
702415,5,7,11,1
702625,5,7,11,1
703285,5,11,7,1
705109,5,7,1,11
705985,5,7,11,1
706537,1,5,11,7
706645,5,7,11,1
707525,5,7,1,11
707707,7,11,1,5
707905,5,11,1,7
708169,7,11,5,1
708565,5,11,1,7
708883,7,5,11,1
709345,5,7,1,11
710125,5,1,7,11
